ID_POBYTU;PESEL;DATA_PRZYJAZDU;LICZBA_TYGODNI;NFZ
1046;80070475553;2022-01-31;3;0
1049;58051232246;2020-11-28;1;0
1050;67010155766;2019-11-22;1;1
1053;70030627698;2019-09-21;1;1
1056;92122818562;2019-08-14;2;1
1059;65032269476;2019-12-17;3;0
1062;93022944308;2019-01-24;2;1
1064;67122299167;2019-12-22;1;0
1065;91101932400;2020-09-12;1;0
1066;83101410525;2019-09-28;3;1
1069;55122017980;2019-05-08;1;1
1070;89091748743;2019-08-03;1;1
1072;86102934643;2019-07-22;2;0
1073;58062467060;2019-08-24;2;0
1074;59022355276;2019-12-19;1;1
1076;61012397630;2019-11-21;3;1
1078;67061770251;2019-09-01;2;0
1081;58111558446;2019-10-05;1;1
1083;89012080701;2019-02-01;2;1
1084;94011552087;2020-06-18;2;1
1086;76121988936;2019-04-21;3;1
1088;82100387124;2019-05-29;3;1
1089;85012120160;2019-06-11;1;0
1092;75121385163;2019-01-20;3;1
1095;93042638454;2019-03-27;1;0
1097;87022679881;2020-04-01;1;1
1100;88102349339;2019-05-19;1;1
1102;77010361393;2020-06-23;2;0
1105;64070328899;2019-03-30;1;1
1108;76091350634;2019-11-25;1;1
1111;81102635624;2019-07-05;3;0
1114;76080283752;2019-09-30;1;0
1117;77010361393;2019-03-16;2;1
1119;70102477659;2020-05-17;2;1
1121;68100342824;2019-11-17;2;1
1124;66020757702;2019-09-27;3;1
1127;59121049621;2022-05-02;2;0
1128;67112996193;2020-06-29;1;0
1129;79050798746;2019-11-07;1;0
1132;94011552087;2021-12-06;3;0
1133;61102872650;2019-11-24;2;0
1135;72010290115;2019-12-03;2;0
1136;65022832440;2019-10-24;2;1
1139;57070331040;2019-07-11;2;1
1140;67010155766;2021-03-08;3;0
1143;88072993341;2019-03-17;1;0
1144;82040279806;2019-10-12;1;0
1145;56042584514;2020-12-21;1;1
1147;70070735461;2021-06-16;2;1
1149;70070735461;2022-05-29;2;0
1151;78072638393;2019-09-25;2;0
1154;94090640262;2020-07-30;2;1
1156;67100795090;2020-10-01;3;1
1159;94011552087;2021-03-02;1;0
1160;89051064162;2019-03-01;3;1
1163;77042122115;2019-06-12;2;0
1164;87092796802;2019-10-13;1;0
1167;82081831948;2019-09-28;1;1
1169;89092640167;2019-05-27;3;1
1172;80020651798;2019-06-24;2;0
1174;93022944308;2019-12-29;1;1
1177;94072521471;2019-05-30;1;0
1178;67112996193;2019-08-11;2;0
1180;60120888519;2019-09-02;2;1
