Nr_medyczny;Nazwisko i Imiê;Pesel;Data_przyjêcia;Lekarz;Pomoc;Ubezpieczenie;Koszt leczenia
1;Nowacka Alicja;56072152105;01.01.2021;Bobrzyñski;Pomoc kardiologiczna;NFZ;1260
2;Kuczyñski Jonasz;21232153106;01.01.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
3;Kujawa Dariusz;03262057805;01.01.2021;Kosiñska;Pomoc kardiologiczna;Polisa zdrowotna;1260
4;Buczek Czes³awa;53041002605;01.01.2021;Piotrecki;Pomoc kardiologiczna;Abonament medyczny;1260
5;Janas Adrian;77112303145;01.01.2021;Micha³owski;Pomoc kardiologiczna;NFZ;1260
6;Sieradzka Weronika;83051913853;01.01.2021;Maliñski;Pomoc kardiologiczna;Polisa zdrowotna;1260
7;Zagórski Pawe³;69012422446;01.01.2021;Kosiñska;Pomoc kardiologiczna;Pol-Plan Ubezpieczenia;1260
8;Roszkowska Anna;12312083367;01.01.2021;Piotrecki;Pomoc ambulatoryjna;NFZ;570
9;Milewski Rados³aw;66050776007;02.01.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
10;Jagodziñski Filip;55032655317;02.01.2021;Kosiñska;Pomoc laryngologiczna;Pol-Plan Ubezpieczenia;690
11;Robak Wiktor;30111018414;03.01.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
12;Biskup Jaros³awa;78051331189;03.01.2021;Kalinowska;Pomoc kardiologiczna;Abonament medyczny;1260
13;¯ukowska Martyna;26111653362;04.01.2021;Maliñski;Pomoc okulistyczna;NFZ;930
14;Bilski Mateusz;46112236467;04.01.2021;Pielecka;Intensywna terapia;NFZ;2370
15;Soko³owski B³a¿ej;90012551773;05.01.2021;Gronowski;Pomoc laryngologiczna;Abonament medyczny;690
16;Konopka Zuzanna;60012318722;05.01.2021;Piotrecki;Pomoc kardiologiczna;Pol-Plan Ubezpieczenia;1260
17;WoŸniak Magdalena;42021887541;06.01.2021;Pielecka;Pomoc laryngologiczna;NFZ;690
18;Wojciechowski Stefan;20301482109;06.01.2021;Kalinowska;Pomoc laryngologiczna;NFZ;690
19;Skrzypczak Makary;87042476176;06.01.2021;Micha³owski;Pomoc kardiologiczna;NFZ;1260
20;Rosiñska Weronika;69082023149;06.01.2021;Piotrecki;Pomoc laryngologiczna;Polisa zdrowotna;690
21;Górecka Danuta;81041973214;07.01.2021;Micha³owski;Pomoc kardiologiczna;NFZ;1260
22;Janowska Bo¿ena;40072785733;07.01.2021;Pielecka;Pomoc okulistyczna;Pol-Plan Ubezpieczenia;930
23;Trojanowski Zdzis³aw;20232144251;07.01.2021;Maliñski;Intensywna terapia;Abonament medyczny;2370
24;Paczkowska Marta;65011182804;07.01.2021;Piotrecki;Pomoc kardiologiczna;Pol-Plan Ubezpieczenia;1260
25;Stolarski Zygmunt;41052415583;07.01.2021;Bobrzyñski;Pomoc kardiologiczna;NFZ;1260
26;Rzepecka Bernardyna;53060312862;07.01.2021;Maliñski;Pomoc kardiologiczna;NFZ;1260
27;Bia³ek Bernardyna;45082161676;08.01.2021;Kosiñska;Pomoc kardiologiczna;Pol-Plan Ubezpieczenia;1260
28;Jêdrzejczyk Gabriela;20212555589;08.01.2021;Kosiñska;Pomoc kardiologiczna;Abonament medyczny;1260
29;Lis Blanka;75030875751;10.01.2021;Maliñski;Pomoc kardiologiczna;NFZ;1260
30;Skowron Ró¿a;53020775386;10.01.2021;Kosiñska;Pomoc kardiologiczna;Abonament medyczny;1260
31;Janiszewski Cezar;08311547368;12.01.2021;Kalinowska;Pomoc laryngologiczna;Polisa zdrowotna;690
32;Misiak Wiktoria;89031856530;12.01.2021;Pielecka;Pomoc okulistyczna;NFZ;930
33;Augustyniak Gra¿yna;96052387725;16.01.2021;Bobrzyñski;Pomoc kardiologiczna;NFZ;1260
34;Skoczylas Julia;15220658113;16.01.2021;Bobrzyñski;Pomoc laryngologiczna;NFZ;690
35;Kmieæ Rados³awa;52101160648;17.01.2021;Bobrzyñski;Pomoc kardiologiczna;Polisa zdrowotna;1260
36;Kukla Zenona;51031966452;17.01.2021;Maliñski;Pomoc laryngologiczna;Pol-Plan Ubezpieczenia;690
37;Œwi¹tek Martyna;33030465224;18.01.2021;Micha³owski;Pomoc kardiologiczna;Abonament medyczny;1260
38;£apiñski Patryk;64101907172;18.01.2021;Pielecka;Pomoc kardiologiczna;NFZ;1260
39;Chmura Sonia;40110274726;18.01.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
40;Reszka Gabriela;49050950309;18.01.2021;Pielecka;Intensywna terapia;Abonament medyczny;2370
41;Piotrowska Emilia;22311201365;19.01.2021;Kalinowska;Pomoc kardiologiczna;NFZ;1260
42;Wolski Miko³aj;61112252776;19.01.2021;Kalinowska;Intensywna terapia;NFZ;2370
