KLASA;NAZWISKO;IMIE;ŒREDNIA;FREKWENCJA
A;£ukanowska;Malwina;4,62;70
A;Wiœniewska;Dorota;3,65;100
A;Siewkowska;Agnieszka;2,42;75
A;Staniszewska;Ma³gorzata;3,33;97
A;Biñczyk;Micha³;4,01;80
A;Redzimska;Monika;4,51;82
A;Mo¿d¿eñ;Damian;3,4;82
A;Pilarska;Izabela;2,63;84
A;Sierko;Ewelina;4,55;70
A;Miechowiecka;Sylwia;3,57;67
A;Wasilewski;Jan;3,35;86
A;Ba³a;Filip;3,98;63
A;Przykucka;Agnieszka;5,65;95
A;Eksterowicz;Agata;2,48;94
A;Kromplewska;Anna;3,98;97
A;Jasik;Jakub;4,04;88
A;Nowak;Melania;4,37;91
A;Klunder;Magdalena;5,91;92
A;Zuckarrolli;Pawe³;4,07;55
A;Chlewicka;Patrycja;2,47;57
A;Marciniak;Wojciech;4,82;92
A;Kwela;Marcin;3,7;76
A;Zieliñska;Dominika;2,04;95
A;Konitz;Robert;2,53;93
A;Brachowski;Karol;5,65;90
A;Maækowska;Natalia;2,09;50
A;Ciêpiel;Micha³;5,87;91
A;Tarka;Dobros³aw;2,59;69
A;Ko³odziejczyk;Klaudia;4,84;89
A;Koz³owska;Karolina;4,11;63
B;Gutkiewicz;Katarzyna;2,27;72
B;Karpina;Olga;3,7;99
B;Chajêcka;Aleksandra;3,02;90
B;Wood;Anna;4,93;73
B;Sadowska-Krawczenko;Izabela;4,86;79
B;Owczarek;Magdalena;3,27;51
B;Szpejna;Monika;3,69;81
B;Henke;Paulina;2,77;78
B;Grzegorek;Monika;2,57;98
B;Gr¹dziel;Filip;5,2;98
B;Œwitkowska;Alicja;2,89;50
B;Ossowski;Szymon;4,08;99
B;Piotrowska;Julia;4,89;74
B;Dworek;Mateusz;5,74;85
B;¯bikowska;Magdalena;3,75;61
B;Pokora;Igor;2,18;64
B;Rajmann;Przemys³aw;4,84;93
B;Ha³ajda;£ukasz;4,66;81
B;Zieliñska;Weronika;5,19;97
B;Kwasek;Wiktoria;4,75;82
B;¯emojtel;Joanna;2,5;99
B;B¹k;Paulina;5,34;85
B;Tyl;Magdalena;2,71;63
B;Detlaf;Daria;3,84;87
B;Ma³kowska;Paulina;5,36;98
B;Gusowski;Kamil;4,38;93
B;Wiliñska;Sandra;2,06;93
B;Opas;Magdalena;2,68;100
B;Rzadkiewicz;Fabian;3,93;72
B;Bia³ow¹s;Marcin;4,87;73
B;Trybuœ;Adam;3,12;78
B;Walczyk;Marta;3,38;93
B;D³ugosz;Agata;2,37;93
B;Cichosz;Marlena;4,41;52
B;Cichosz;Justyna;4,6;79
B;Senger;Adrianna;3,78;77
B;Kuligowski;Piotr;3,98;69
B;Wegenke;Katarzyna;4,96;95
C;Demczewski;Filip;3,52;98
C;Grz¹dka;Aleksandra;3,94;67
C;Zduñczuk;Miko³aj;4,39;99
C;Arkuszewska;Judyta;3,42;51
C;Mroziñska;Magdalena;2,89;54
C;Falaszek;Agnieszka;3,64;72
C;Chojnacka;Karolina;3,6;70
C;Buzalska;Agnieszka;2,87;62
C;Zachulska;Anna;4,23;88
C;Wardach;Mateusz;4,91;73
C;Rogowski;Christian;4,81;72
C;RzeŸnikowska;Paulina;3,46;95
C;Stelter;Pawe³;2,23;66
C;Rydzewski;Mateusz;3,78;83
C;Rydzyñska;Patrycja;3,02;63
C;Kubisch;Artur;2,09;51
C;Wrzesiñska;Anna;2,94;63
C;Jasiek;Magdalena;3,91;76
C;Palicka;Joanna;3,86;82
C;Buœ;Jagoda;4,69;98
C;Heyza;Rafa³;2,03;75
C;Ciemiñski;Pawe³;4,78;81
C;Ziêtara;£ukasz;4,9;76
C;Bogusz;Barbara;3,51;80
C;Markowska;Aleksandra;3,15;67
C;Chabel;Joanna;4,25;69
C;Kwiatkowski;Mateusz;3,89;92
C;Rzeszotarski;Rafa³;5,87;97
C;Gackowska;Alicja;4,8;80
C;Kluczyñski;Dawid;2,98;61
C;Szymanowski;Pawe³;4,9;72
C;Mielcarek;Maciej;4,71;80
C;Grabowska;Karolina;4,24;92
C;Górska;Aneta;2,35;56
D;Wilniewczyc;Rafa³;2,12;61
D;Siadkowska;Natalia;2,87;75
D;Garsztka;Weronika;4,74;91
D;Chmielewska;Marta;4,78;78
D;Dobrzañski;Dariusz;5,72;89
D;Chmielewska;Monika;4,69;96
D;Adamczyk;Aleksander;2,85;76
D;Kromski;Jan;4,61;98
D;Koz³owska;Aleksandra;3,03;58
D;Stachera;Ewa;2,37;62
D;Czajkowski;Miko³aj;5,4;100
D;Giermakowska;Aleksandra;2,64;95
D;Paprocki;Tymoteusz;3,91;67
D;Kluszczyñski;Mateusz;4,73;71
D;Æwikowska;Marta;4,2;73
D;Bagiñska;Agata;4,83;70
D;Krzywañski;Tomasz;2,8;77
D;Sowiñski;Krzysztof;3,79;62
D;Kujawa;Ma³gorzata;3,91;82
D;Sadurska;Dominika;3,89;84
D;Górkiewicz;Honorata;4,48;50
D;Skalska;Marta;3,46;95
D;Szymañski;Karol;4,43;68
D;Meller;Marta;2,01;57
D;Krystek;Aleksandra;4;62
D;Koselski;Mateusz;3,42;59
D;Jarz¹bek;Maksymilian;2,07;61
D;Machaliñski;Patryk;4,69;77
D;Krukowski;Damian;2,4;66
D;Brona;Adrian;4,91;75
D;Sosnowska;Angelika;4,4;93
D;Pachnik;Anna;2,65;91
D;Tews;Krystian;2,24;66
D;Niwiñska;Natalia;5,64;90
D;WoŸniak;Arkadiusz;3,57;54
D;Owczarska;Estera;3,83;74
D;Biernat;Daria;3,33;91
E;Perdoch;Dominika;5;91
E;Górka;Pawe³;4,86;79
E;Kitowski;Damian;2,02;65
E;Mierzbiczak;Aleksander;2,4;68
E;Lemanowicz;Maciej;2,91;74
E;Lemanowicz;Micha³;2,89;100
E;Œwistowski;Filip;3,76;60
E;Stolarczuk;£ukasz;4,36;94
E;Budziñski;Patryk;5,17;90
E;Szymczak;Szymon;2,13;68
E;Podsiad³y;Agnieszka;4,1;92
E;Bochenek;Oliwia;4,91;71
E;Bogucki;Bartosz;4,63;78
