Nazwisko;Imie;Data urodzenia;MiejscowoϾ;Stanowisko
Smith;Jan;22.01.1971;Wroclaw;prawnik
Kowal;Michal;02.12.1969;Warszawa;sekretarka
Anusz;Anna;22.08.1964;Krakow;informatyk
Chinski;Marek;14.11.1968;Olesnica;ksiegowy
Mieta;Roman;17.03.1963;Warszawa;grafik
Gates;Karol;18.05.1967;Bydgoszcz;akwizytor
Janasik;Anatol;21.01.1968;Bydgoszcz;menadzer
Milion;Ewa;14.02.1963;JeleniaGora;radca
Bosman;Bogdan;01.01.1970;Bydgoszcz;portier
Kildare;Dariusz;27.02.1968;Lublin;elektronik
Holmes;Jakub;30.06.1968;JeleniaGora;statystyk
Kmicic;Jan;10.08.1966;Bydgoszcz;informatyk
Potocki;Grzegorz;22.12.1963;JeleniaGora;akwizytor
Gigant;Grzegorz;16.11.1966;Krakow;elektronik
Inny;Stefan;07.06.1966;Bydgoszcz;grafik
Rozny;Stanislaw;22.01.1968;Lublin;informatyk
Boss;Bohdan;26.03.1966;Olesnica;ksiegowy
Gates;Anna;03.07.1970;JeleniaGora;menadzer
Potocki;Stanislaw;01.09.1965;JeleniaGora;portier
Mieta;Karol;04.05.1965;Warszawa;radca
Bosman;Jan;04.05.1967;Warszawa;sekretarka
Smith;Jan;25.04.1965;Wroclaw;statystyk
Rozny;Michal;22.05.1965;Wroclaw;sekretarka
Potocki;Anna;01.10.1965;Wroclaw;radca
Potocki;Karol;13.01.1965;Warszawa;informatyk
Milion;Roman;02.10.1966;Warszawa;portier
Mieta;Karol;16.05.1965;Warszawa;menadzer
Mieta;Anatol;05.07.1970;Warszawa;ksiegowy
Kowal;Ewa;12.01.1970;JeleniaGora;informatyk
Kmicic;Bogdan;13.06.1964;JeleniaGora;grafik
Kopec;Anna;15.10.1970;JeleniaGora;elektronik
Janasik;Iza;24.02.1969;JeleniaGora;elektronik
Inny;Jan;28.02.1968;Olesnica;akwizytor
Holmes;Adam;25.12.1970;Olesnica;akwizytor
Gigant;Grzegorz;25.02.1968;Lublin;ksiegowy
Gates;Stefan;18.11.1965;Lublin;menadzer
Gates;Stanislaw;05.01.1968;Bydgoszcz;portier
Chinski;Bohdan;04.05.1969;Bydgoszcz;radca
Boss;Anna;25.04.1965;Krakow;sekretarka
Bosman;Stanislaw;18.09.1969;Krakow;statystyk
Bosman;Karol;29.09.1970;JeleniaGora;sekretarka
Aanusz;Jan;02.02.1965;JeleniaGora;radca
Kiel;Barbara;05.09.1970;Bydgoszcz;informatyk
Gagatek;Zenon;03.12.1967;Bydgoszcz;portier
Borowik;Michal;10.12.1970;Wroclaw;menadzer
Soski;Robert;26.07.1968;Krakow;ksiegowy
Musial;Jacek;30.08.1967;Krakow;informatyk
Zysk;Maryla;11.04.1965;Wroclaw;grafik
