id_pracownika	imie	nazwisko	stanowisko
p1	Malwina	£ukanowska	prezes
p2	Dorota	Wiœniewska	grafik
p3	Agnieszka	Siewkowska	grafik
p4	Ma³gorzata	Staniszewska	ksiêgowa
p5	Micha³	Biñczyk	programista
p6	Monika	Redzimska	ksiêgowa
p7	Damian	Mo¿d¿eñ	telemarketer
p8	Izabela	Pilarska	programista
p9	Ewelina	Sierko	telemarketer
p10	Sylwia	Miechowiecka	telemarketer
p11	Jan	Wasilewski	programista
p12	Filip	Ba³a	telemarketer
p13	Agnieszka	Przykucka	sekretatka
p14	Agata	Eksterowicz	grafik
p15	Anna	Kromplewska	telemarketer
p16	Jakub	Jasik	programista
p17	Melania	Nowak	kadrowiec
p18	Magdalena	Klunder	kadrowiec
p19	Pawe³	Zuckarrolli	serwisant
p20	Patrycja	Chlewicka	serwisant
