nr_taksowki	imie	nazwisko	ilosc_miejsc	fotelik_dla_dziecka
103	Jakub	Jasik	4	t
104	Mateusz	Nowak	6	n
105	Marian	Klunder	4	n
106	Pawe³	Zuckarrolli	4	n
107	Tymoteusz	Chlewicka	4	n
108	Wojciech	Marciniak	6	t
109	Marcin	Kwela	8	t
110	Dominik	Zieliñski	4	n
111	Robert	Konitz	4	n
112	Karol	Brachowski	4	n
113	Natalia	Maækowska	4	t
114	Micha³	Ciêpiel	6	t
115	Dobros³aw	Tarka	4	t
116	Karol	Ko³odziejczyk	4	n
117	Karolina	Koz³owska	8	n
118	Olaf	Gutkiewicz	4	n
119	Jakub	Karpina	4	n
120	Aleksandra	Chajêcka	8	n
121	Tomasz	Wood	4	n
122	Igor	Krawczenko	6	n
123	Tymoteusz	Owczarek	6	n
124	Adam	Szpejna	4	n
125	Olaf	Henke	4	n
126	Tomasz	Grzegorek	4	t
127	Filip	Gr¹dziel	4	t
128	Tadeusz	Œwitkowski	4	t
129	Szymon	Ossowski	4	n
130	Julia	Piotrowska	4	n
131	Mateusz	Dworek	4	t
